"pid";"nome_processo";"data_hora";"uso_cpu";"uso_memoria";"memoria_virtual";"status_abertura";"gravacao_disco";"temp_execucao";"fk_maquinaP";"fk_empresaP"
0;"System Idle Process";"2023-12-05 14:17:06";"366.20238728646643";9.81706874107874e-05;8192.0;1;"10692365824";0.0;1;1
4;"System";"2023-12-05 14:17:08";"1.1195408117787131";0.0002454267185269685;10752000.0;1;"10692365824";0.0;1;1
100;"Registry";"2023-12-05 14:17:10";"0.007621350140796375";0.11809933695517723;197935104.0;1;"10692365824";0.0;1;1
216;"java.exe";"2023-12-05 14:17:11";"0.0";0.0;0.0;0;"10692365824";0.0;1;1
280;"chrome.exe";"2023-12-05 10:52:55";"0.0";0.0;0.0;0;"19891675648";0.0;1;1
396;"sihost.exe";"2023-12-05 10:52:57";"0.0";0.0;0.0;0;"19891675648";0.0;1;1
600;"svchost.exe";"2023-12-05 10:52:59";"0.0";0.0;0.0;0;"19891675648";0.0;1;1
612;"smss.exe";"2023-12-05 10:53:01";"0.0";0.0;0.0;0;"19891675648";0.0;1;1
616;"smss.exe";"2023-12-05 14:17:13";"0.0011592702327640736";0.0011780482489294486;41500672.0;1;"10692365824";0.0;1;1
656;"svchost.exe";"2023-12-05 14:17:15";"0.04955704662859287";0.10617159843476656;150798336.0;1;"10692365824";0.0;1;1
664;"chrome.exe";"2023-12-05 14:17:16";"0.53956413711804";0.44078638647443535;961994752.0;1;"10692365824";0.0;1;1
700;"csrss.exe";"2023-12-05 14:17:18";"0.012678611282142163";0.010209751490721888;96116736.0;1;"10692365824";0.0;1;1
704;"fontdrvhost.exe";"2023-12-05 14:17:20";"0.0005051774895560765";0.005546643838709488;69603328.0;1;"10692365824";0.0;1;1
708;"csrss.exe";"2023-12-05 10:53:05";"0.0";0.0;0.0;0;"19891675648";0.0;1;1
712;"svchost.exe";"2023-12-05 10:53:09";"0.0";0.0;0.0;0;"19891675648";0.0;1;1
788;"wininit.exe";"2023-12-05 14:17:22";"0.0005134489250408461";0.0007853654992862992;69693440.0;1;"10692365824";0.0;1;1
812;"csrss.exe";"2023-12-05 14:17:23";"0.0864251125075092";0.01448017639309114;127303680.0;1;"10692365824";0.0;1;1
816;"fontdrvhost.exe";"2023-12-05 14:17:25";"0.009830257050869883";0.013302128144161691;178434048.0;1;"10692365824";0.0;1;1
892;"winlogon.exe";"2023-12-05 14:17:27";"0.0";0.00849176446103311;102789120.0;1;"10692365824";0.0;1;1
900;"conhost.exe";"2023-12-05 14:07:22";"0.0";0.0;0.0;0;"10478150144";0.0;1;1
936;"services.exe";"2023-12-05 14:17:28";"0.0";0.04957619714244763;68374528.0;1;"10692365824";0.0;1;1
944;"lsass.exe";"2023-12-05 14:17:30";"0.0";0.06886673721866736;125132800.0;1;"10692365824";0.0;1;1
1048;"WUDFHost.exe";"2023-12-05 14:17:32";"0.024861088061513898";0.03597955693605358;118870016.0;1;"10692365824";0.0;1;1
1076;"";"2023-12-05 00:00:00";"21.651785714285715";1.3741932823762018;3977277440.0;0;"";0.0;1;1
1104;"SgrmBroker.exe";"2023-12-05 14:17:33";"0.004042358561389031";0.040200896494717434;65605632.0;1;"10692365824";0.0;1;1
1116;"svchost.exe";"2023-12-05 14:17:35";"0.06844805525534478";0.08099081711389959;98697216.0;1;"10692365824";0.0;1;1
1124;"OfficeClickToRun.exe";"2023-12-05 14:17:37";"0.2607542292372376";0.4859449026833976;325623808.0;1;"10692365824";0.0;1;1
1164;"svchost.exe";"2023-12-05 14:17:39";"0.004389299021492741";0.01354755486268866;81379328.0;1;"10692365824";0.0;1;1
1188;"WmiPrvSE.exe";"2023-12-05 13:56:12";"0.0";0.0;0.0;0;"10281388032";0.0;1;1
1252;"dwm.exe";"2023-12-05 14:17:40";"0.5619825101184265";0.3453153929674446;418279424.0;1;"10692365824";0.0;1;1
1356;"svchost.exe";"2023-12-05 14:17:42";"0.0002484534394527664";0.004417680933485432;68911104.0;1;"10692365824";0.0;1;1
1420;"svchost.exe";"2023-12-05 14:17:44";"0.0";0.00849176446103311;74567680.0;1;"10692365824";0.0;1;1
1428;"svchost.exe";"2023-12-05 14:17:45";"0.0";0.017768894421352516;89620480.0;1;"10692365824";0.0;1;1
1440;"svchost.exe";"2023-12-05 14:17:47";"0.0";0.0059884119320580305;77885440.0;1;"10692365824";0.0;1;1
1500;"svchost.exe";"2023-12-05 14:17:49";"0.0";0.0;0.0;0;"10692365824";0.0;1;1
1564;"svchost.exe";"2023-12-05 14:17:51";"0.0";0.008737191179560077;77717504.0;1;"10692365824";0.0;1;1
1588;"svchost.exe";"2023-12-05 14:17:52";"0.0";0.05306125654553058;108122112.0;1;"10692365824";0.0;1;1
1676;"svchost.exe";"2023-12-05 14:17:54";"0.004389365181021147";0.0108969463025974;84250624.0;1;"10692365824";0.0;1;1
1684;"svchost.exe";"2023-12-05 14:17:56";"0.00154870067326242";0.014725603111618107;115048448.0;1;"10692365824";0.0;1;1
1696;"svchost.exe";"2023-12-05 14:17:57";"0.0010269459009868453";0.014136578987153384;84074496.0;1;"10692365824";0.0;1;1
1712;"svchost.exe";"2023-12-05 14:17:59";"0.007124483340702459";0.06729600622009475;135172096.0;1;"10692365824";0.0;1;1
